STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
"Terrence Ross
(TOR)",Add,GF,23,2,81,26.6,10.9,3.1,1,0.3,0.8,0.46,0.39,0.84,0.5,2.6,1.1,147.8,51,15,0.56
"Shaun Livingston *
(GSW)",Remove,G,29,9,76,26,8.3,3.2,3.2,0.4,1.2,0.49,0.17,0.83,0.9,2.4,1.4,197.3,43,15,0.58
"Mo Williams
(MIN)",Remove,G,31,11,74,24.8,9.7,2.1,4.3,0.1,0.7,0.44,0.37,0.88,0.6,1.5,2,194,39,15,0.6
"Kevin Garnett
(BKL)",Remove,FC,38,19,54,20.6,6.5,6.6,1.5,0.7,0.8,0.44,0,0.81,1.1,5.5,1.3,133.4,70,14.9,0.72
"Harrison Barnes
(GSW)",Add,F,22,2,78,28.3,9.5,4,1.5,0.3,0.8,0.42,0.35,0.72,0.8,3.1,1.1,169.3,54,14.9,0.53
"Kelly Olynyk
(BOS)",Remove,FC,23,1,70,19.9,8.7,5.2,1.6,0.4,0.5,0.5,0.35,0.81,2,3.2,1.5,105.6,59,14.8,0.74
"Tony Allen
(MEM)",Remove,G,32,10,55,23.2,9,3.8,1.7,0.3,1.6,0.53,0.23,0.63,1.4,2.3,1.6,196.8,47,14.8,0.64
"Greivis Vasquez
(TOR)",Remove,G,27,4,79,22.5,9.6,2.2,4.1,0.1,0.4,0.46,0.38,0.88,0.3,1.9,1.6,138.4,50,14.7,0.65
"Danny Green
(SAS)",Add,GF,27,5,68,24.3,9.1,3.4,1.5,0.9,1,0.46,0.42,0.79,0.4,3,1.1,134.6,58,14.7,0.61
"Brandan Wright
(DAL)",Remove,FC,26,6,58,18.7,9.1,4.2,0.5,0.9,0.6,0.68,0,0.73,1.8,2.4,0.6,138.9,66,14.7,0.79
"Steve Blake
(POR)",Add,G,34,11,55,27.2,6.9,2.9,5.6,0.1,1,0.38,0.38,0.77,0.2,2.7,1.9,238.3,35,14.6,0.54
"Marcus Morris
(PHO)",Remove,F,25,3,82,22,9.7,3.9,1.1,0.2,0.9,0.48,0.38,0.76,1,2.9,1.2,176.3,42,14.6,0.67
"Samuel Dalembert
(NYK)",Add,C,33,12,80,20.2,6.6,6.8,0.5,1.2,0.5,0.57,0,0.74,2.5,4.3,1.1,143.2,51,14.4,0.71
"Henry Sims
(PHI)",Add,C,24,2,45,19.5,7.8,5.3,1.2,0.4,0.6,0.48,0,0.74,2.3,3,0.9,138.4,43,14.4,0.74
