FAN,STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
,"Marshon Brooks
(*FA)",Add,G,25,3,73,12.6,5.4,1.4,1,0.2,0.5,0.5,0.27,0.73,0.4,1,0.9,209.6,11,10.1,0.8
,"Roger Mason-Jr
(*FA)",Add,G,34,9,69,17.7,5.3,1.9,1.1,0.2,0.4,0.45,0.42,0.91,0.2,1.8,0.7,218.5,2,9.8,0.55
,"Patty Mills *
(SAS)",Add,G,26,5,57,11.4,5.2,0.9,1.1,0.1,0.5,0.55,0.4,0.84,0.2,0.7,0.7,153.3,56,9.7,0.85
,"Jeff Adrien
(HOU)",Add,F,28,4,52,13.7,4,3.8,0.7,0.5,0.3,0.43,0,0.65,1.3,2.5,0.6,187.3,38,9.7,0.71
,"Brendan Haywood *
(CLE)",Add,C,34,13,61,19.1,3.5,4.8,0.5,0.8,0.3,0.43,0,0.45,2,2.7,0.8,224.1,6,9.7,0.51
,"Chris Singleton
(*FA)",Add,F,24,3,55,16.8,4.2,3.3,0.7,0.4,0.7,0.41,0.19,0.57,0.9,2.4,0.8,244.5,13,9.6,0.57
,"Travis Outlaw
(NYK)",Add,F,29,11,38,11.8,5.3,1.6,0.6,0.2,0.3,0.47,0.28,0.73,0.4,1.2,0.5,249.7,18,9.5,0.81
,"Greg Stiemsma
(*FA)",Add,C,28,3,76,15.9,4,3.4,0.4,1.2,0.6,0.46,0,0.77,0.8,2.6,0.8,219.5,21,9.5,0.59
,"Ronnie Brewer
(*FA)",Add,G,29,8,58,14.4,3,2.3,0.8,0.1,0.7,0.38,0.3,0.41,0.7,1.6,0.3,204.6,6,9.4,0.65
,"Nando De-Colo
(*FA)",Add,G,27,2,71,13,3.9,1.9,1.9,0.1,0.6,0.47,0.38,0.8,0.3,1.6,1.1,226.7,11,9.4,0.72
,"Hedo Turkoglu
(*FA)",Add,GF,35,14,11,17.2,2.9,2.4,2.1,0.1,0.6,0.45,0.04,0.5,0.4,2,1.1,196.8,11,9.2,0.53
,"Mike Scott
(ATL)",Add,F,26,2,40,9.4,4.6,2.8,0.3,0,0.1,0.48,0,0.77,1,1.8,0.5,209.3,40,9.2,0.97
